calories,fat,carbs,protein,cholesterol,sodium,prep_time,made_it,number_of_rating,rating_score,num_reviews,photos
318.0,20.1,13.2,20.5,56.0,1092.0,151.0,7000,5348.0,4.76,3649,354
384.0,23.0,11.7,31.1,83.0,1885.0,750.0,19,20.0,4.7,16,1
280.0,21.1,2.2,19.7,56.0,136.0,50.0,167,149.0,4.4,104,10
480.0,38.9,5.4,25.0,100.0,264.0,161.0,159,183.0,4.6,139,6
396.0,26.9,6.8,32.0,91.0,640.0,45.0,671,232.0,4.49,158,22
373.0,14.5,22.3,37.6,114.0,1291.0,40.0,748,441.0,4.62,296,40
230.0,15.1,26.6,2.6,0.0,9.0,50.0,8,11.0,4.45,7,2
145.0,0.0,38.2,0.1,0.0,6.0,275.0,4000,2749.0,4.77,2038,131
317.0,22.8,27.0,4.3,57.0,36.0,130.0,19,10.0,4.3,10,1
260.0,17.0,26.8,3.1,119.0,24.0,750.0,13,,5.0,3,1
264.0,27.6,19.3,1.6,102.0,48.0,40.0,25,11.0,4.27,9,3
264.0,15.1,32.3,1.8,56.0,95.0,250.0,170,128.0,4.91,104,12
107.0,3.0,18.5,1.7,8.0,65.0,18.0,7,,4.71,7,2
426.0,21.1,56.6,4.9,57.0,248.0,350.0,51,21.0,4.52,17,3
634.0,38.1,69.3,7.6,101.0,474.0,55.0,712,313.0,4.75,247,85
49.0,0.1,12.3,0.3,0.0,1.0,5.0,22,19.0,4.47,17,2
90.0,0.0,22.4,0.3,0.0,15.0,10.0,36,31.0,4.58,28,1
50.0,0.1,12.2,0.3,0.0,21.0,2.0,219,76.0,4.51,65,4
175.0,0.1,43.7,0.8,0.0,34.0,20.0,377,374.0,4.75,303,4
182.0,0.2,45.3,1.0,0.0,24.0,10.0,117,91.0,4.71,71,6
238.0,0.6,57.4,2.1,0.0,28.0,5.0,14,,4.89,7,1
93.0,0.1,23.4,0.3,0.0,9.0,5.0,144,153.0,4.68,120,3
